,start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng,merge_flag
3657,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,5565,40.73593758446329,-74.03030455112457,40.73520838045357,-74.04696375131607,both
6290,South Waterfront Walkway - Sinatra Dr & 1 St,South Waterfront Walkway - Sinatra Dr & 1 St,5439,40.73698221818716,-74.02778059244156,40.73698221818716,-74.02778059244156,both
4976,Marin Light Rail,Grove St PATH,4113,40.71458403535893,-74.04281705617905,40.71958611647166,-74.04311746358871,both
3574,Hoboken Ave at Monmouth St,Hoboken Terminal - Hudson St & Hudson Pl,4083,40.73520838045357,-74.04696375131607,40.73593758446329,-74.03030455112457,both
3135,Grove St PATH,Marin Light Rail,3973,40.71958611647166,-74.04311746358871,40.71458403535893,-74.04281705617905,both
181,12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,3964,40.75060414236896,-74.02402013540268,40.73698221818716,-74.02778059244156,both
4503,Liberty Light Rail,Liberty Light Rail,3696,40.7112423,-74.0557013,40.7112423,-74.0557013,both
6211,South Waterfront Walkway - Sinatra Dr & 1 St,12 St & Sinatra Dr N,3495,40.73698221818716,-74.02778059244156,40.75060414236896,-74.02402013540268,both
3201,Hamilton Park,Grove St PATH,3203,40.727595966,-74.044247311,40.71958611647166,-74.04311746358871,both
5722,Newport Pkwy,Newport Pkwy,3131,40.7287448,-74.0321082,40.7287448,-74.0321082,both
6212,South Waterfront Walkway - Sinatra Dr & 1 St,14 St Ferry - 14 St & Shipyard Ln,3027,40.73698221818716,-74.02778059244156,40.75296063046496,-74.02435272932053,both
285,14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,3026,40.75296063046496,-74.02435272932053,40.73698221818716,-74.02778059244156,both
3112,Grove St PATH,Hamilton Park,2956,40.71958611647166,-74.04311746358871,40.727595966,-74.044247311,both
97,12 St & Sinatra Dr N,12 St & Sinatra Dr N,2952,40.75060414236896,-74.02402013540268,40.75060414236896,-74.02402013540268,both
3128,Grove St PATH,Liberty Light Rail,2847,40.71958611647166,-74.04311746358871,40.7112423,-74.0557013,both
3670,Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 1 St,2840,40.73593758446329,-74.03030455112457,40.73879,-74.0393,both
3284,Harborside,Columbus Dr at Exchange Pl,2735,40.7192517,-74.034234,40.71687,-74.03281,both
4487,Liberty Light Rail,Grove St PATH,2692,40.7112423,-74.0557013,40.71958611647166,-74.04311746358871,both
2561,Dixon Mills,Grove St PATH,2556,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871,both
3126,Grove St PATH,Lafayette Park,2530,40.71958611647166,-74.04311746358871,40.71346382669195,-74.06285852193832,both
2151,Columbus Dr at Exchange Pl,Harborside,2422,40.71687,-74.03281,40.7192517,-74.034234,both
4322,Lafayette Park,Grove St PATH,2422,40.71346382669195,-74.06285852193832,40.71958611647166,-74.04311746358871,both
1557,Brunswick St,Grove St PATH,2410,40.7241765,-74.0506564,40.71958611647166,-74.04311746358871,both
5000,Marin Light Rail,Marin Light Rail,2399,40.71458403535893,-74.04281705617905,40.71458403535893,-74.04281705617905,both
4655,Madison St & 1 St,Hoboken Terminal - Hudson St & Hudson Pl,2359,40.73879,-74.0393,40.73593758446329,-74.03030455112457,both
201,14 St Ferry - 14 St & Shipyard Ln,14 St Ferry - 14 St & Shipyard Ln,2345,40.75296063046496,-74.02435272932053,40.75296063046496,-74.02435272932053,both
3102,Grove St PATH,Dixon Mills,2339,40.71958611647166,-74.04311746358871,40.721630142638354,-74.04996782541275,both
